Date,Issue,Code,Sector,Component Weight (TOPIX),New Index Series Code
20250331,"DAIICHI JITSUGYO CO.,LTD.",8059,"Wholesale Trade",0.0057%,TOPIX Small 2
20250331,"Canon Marketing Japan Inc.",8060,"Wholesale Trade",0.0280%,TOPIX Mid400
20250331,"SEIKA CORPORATION",8061,"Wholesale Trade",0.0058%,TOPIX Small 2
20250331,"SATO SHO-JI CORPORATION",8065,"Wholesale Trade",0.0029%,TOPIX Small 2
20250331,"TOKYO SANGYO CO.,LTD.",8070,"Wholesale Trade",0.0020%,TOPIX Small 2
20250331,"YUASA TRADING CO.,LTD.",8074,"Wholesale Trade",0.0109%,TOPIX Small 1
20250331,"Shinsho Corporation",8075,"Wholesale Trade",0.0035%,TOPIX Small 2
20250331,"HANWA CO.,LTD.",8078,"Wholesale Trade",0.0225%,TOPIX Small 1
20250331,"SHOEI FOODS CORPORATION",8079,"Wholesale Trade",0.0077%,TOPIX Small 1
20250331,"KANADEN CORPORATION",8081,"Wholesale Trade",0.0031%,TOPIX Small 2
20250331,"RYODEN CORPORATION",8084,"Wholesale Trade",0.0057%,TOPIX Small 2
20250331,"NIPRO CORPORATION",8086,"Precision Instruments",0.0299%,TOPIX Mid400
20250331,"IWATANI  CORPORATION",8088,"Wholesale Trade",0.0415%,TOPIX Mid400
20250331,"Kyokuto Boeki Kaisha,Limited",8093,"Wholesale Trade",0.0026%,TOPIX Small 2
20250331,"Astena Holdings Co.,Ltd.",8095,"Wholesale Trade",0.0024%,TOPIX Small 2
20250331,"SAN-AI OBBLI CO.,LTD.",8097,"Wholesale Trade",0.0112%,TOPIX Small 1
20250331,"Inabata & Co.,Ltd.",8098,"Wholesale Trade",0.0240%,TOPIX Small 1
20250331,"GSI Creos Corporation",8101,"Wholesale Trade",0.0030%,TOPIX Small 2
20250331,"Meiwa Corporation",8103,"Wholesale Trade",0.0028%,TOPIX Small 2
20250331,"Goldwin Inc.",8111,"Textiles & Apparels",0.0387%,TOPIX Mid400
20250331,"UNICHARM CORPORATION",8113,"Chemicals",0.1970%,TOPIX Large70
20250331,"Wakita & Co.,LTD.",8125,"Wholesale Trade",0.0071%,TOPIX Small 2
20250331,"TOHO HOLDINGS CO.,LTD.",8129,"Wholesale Trade",0.0337%,TOPIX Mid400
20250331,"Sangetsu Corporation",8130,"Wholesale Trade",0.0204%,TOPIX Small 1
20250331,"Mitsuuroko Group Holdings Co.,Ltd.",8131,"Wholesale Trade",0.0064%,TOPIX Small 2
20250331,"SINANEN HOLDINGS CO.,LTD.",8132,"Wholesale Trade",0.0042%,TOPIX Small 2
20250331,"ITOCHU ENEX CO.,LTD.",8133,"Wholesale Trade",0.0111%,TOPIX Small 1
20250331,"Sanrio Company,Ltd.",8136,"Wholesale Trade",0.1560%,TOPIX Mid400
20250331,"SUN-WA TECHNOS CORPORATION",8137,"Wholesale Trade",0.0027%,TOPIX Small 2
20250331,"Shinko Shoji Co.,Ltd.",8141,"Wholesale Trade",0.0034%,TOPIX Small 2
20250331,"TOHO Co.,Ltd.",8142,"Wholesale Trade",0.0042%,TOPIX Small 2
20250331,"SANSHIN ELECTRONICS CO.,LTD.",8150,"Wholesale Trade",0.0023%,TOPIX Small 2
20250331,"TOYO Corporation",8151,"Wholesale Trade",0.0035%,TOPIX Small 2
20250331,"MOS FOOD SERVICES,INC.",8153,"Wholesale Trade",0.0150%,TOPIX Small 1
20250331,"KAGA ELECTRONICS CO.,LTD.",8154,"Wholesale Trade",0.0153%,TOPIX Small 1
20250331,"TSUZUKI DENKI CO.,LTD.",8157,"Information & Communication",0.0034%,TOPIX Small 2
20250331,"SODA NIKKA CO.,LTD.",8158,"Wholesale Trade",0.0028%,TOPIX Small 2
20250331,"TACHIBANA ELETECH CO.,LTD.",8159,"Wholesale Trade",0.0040%,TOPIX Small 2
20250331,"KISOJI CO.,LTD.",8160,"Retail Trade",0.0090%,TOPIX Small 1
20250331,"SRS HOLDINGS CO.,LTD.",8163,"Retail Trade",0.0054%,TOPIX Small 2
20250331,"SENSHUKAI CO.,LTD.",8165,"Retail Trade",0.0015%,TOPIX Small 2
20250331,"RETAIL PARTNERS CO.,LTD.",8167,"Retail Trade",0.0056%,TOPIX Small 2
20250331,"Joshin Denki Co.,Ltd.",8173,"Retail Trade",0.0059%,TOPIX Small 1
20250331,"NIPPON GAS CO.,LTD.",8174,"Retail Trade",0.0298%,TOPIX Mid400
20250331,"ROYAL HOLDINGS Co., Ltd.",8179,"Retail Trade",0.0126%,TOPIX Small 1
20250331,"CHIYODA CO.,LTD.",8185,"Retail Trade",0.0029%,TOPIX Small 2
20250331,"LIFE CORPORATION",8194,"Retail Trade",0.0113%,TOPIX Small 1
20250331,"RINGER HUT CO.,LTD.",8200,"Retail Trade",0.0083%,TOPIX Small 1
20250331,"MrMax Holdings Ltd.",8203,"Retail Trade",0.0023%,TOPIX Small 2
20250331,"AOKI Holdings Inc.",8214,"Retail Trade",0.0078%,TOPIX Small 1
20250331,"OKUWA CO.,LTD.",8217,"Retail Trade",0.0036%,TOPIX Small 2
20250331,"KOMERI CO.,LTD.",8218,"Retail Trade",0.0111%,TOPIX Small 1
20250331,"AOYAMA TRADING Co.,Ltd.",8219,"Retail Trade",0.0122%,TOPIX Small 1
20250331,"SHIMAMURA Co.,Ltd.",8227,"Retail Trade",0.0562%,TOPIX Mid400
20250331,"Takashimaya Company,Limited",8233,"Retail Trade",0.0453%,TOPIX Mid400
20250331,"MATSUYA CO.,LTD.",8237,"Retail Trade",0.0050%,TOPIX Small 1
20250331,"H2O RETAILING CORPORATION",8242,"Retail Trade",0.0308%,TOPIX Mid400
20250331,"Kintetsu Department Store CO.,Ltd.",8244,"Retail Trade",0.0035%,TOPIX Small 2
20250331,"MARUI GROUP CO.,LTD.",8252,"Retail Trade",0.0501%,TOPIX Mid400
20250331,"Credit Saison Co.,Ltd.",8253,"Other Financing Business",0.0581%,TOPIX Mid400
20250331,"Axial Retailing Inc.",8255,"Retail Trade",0.0074%,TOPIX Small 2
20250331,"AEON CO.,LTD.",8267,"Retail Trade",0.3876%,TOPIX Large70
20250331,"IZUMI CO.,LTD.",8273,"Retail Trade",0.0134%,TOPIX Mid400
20250331,"FORVAL CORPORATION",8275,"Wholesale Trade",0.0016%,TOPIX Small 2
20250331,"HEIWADO CO.,LTD.",8276,"Retail Trade",0.0116%,TOPIX Small 1
20250331,"FUJI CO.,LTD.",8278,"Retail Trade",0.0112%,TOPIX Small 1
20250331,"YAOKO CO.,LTD",8279,"Retail Trade",0.0304%,TOPIX Mid400
20250331,"XEBIO holdings CO.,LTD.",8281,"Retail Trade",0.0049%,TOPIX Small 1
20250331,"K'S HOLDINGS CORPORATION",8282,"Retail Trade",0.0256%,TOPIX Mid400
20250331,"PALTAC CORPORATION",8283,"Wholesale Trade",0.0173%,TOPIX Mid400
